% Graph saved at Thu Dec 20 2018 16:00:02 GMT+0100 (heure normale d’Europe centrale)
n 100 200
n 241 300
n 241 100
n 382 200
n 435.0632776187945 443.4465945345684
n 190.28479660613627 458.0097013306849
n 378.5759358466426 407.0388275442772
n 400.72783458081983 301.4563032724325
n 608.9556826820856 248.0582450200053
n 468.29112572006034 73.30096346660724
n 529.2088472390477 277.18445861223836
n 523.6708725555034 352.42717705884024
n 646.6139105301869 397.3300896801995
n 504.84175863145276 421.60193434039365
n 686.4873282517059 473.7864003598111
n 519.2404928086679 135.1941673501024
n 379.68353078335144 147.33008968019948
n 204.68353078335144 195.87377900058783
n 164.81011306183245 294.17474987437424
n 192.499986479554 345.145623660782
n 312.120239644111 39.320380942335404
n 474.9366953403135 208.00970133068492
n 367.499986479554 55.09707997146162
n 89.49365736562994 351.21358482583054
n -1.3291274444966377 393.68931298117036
n 127.15188521373122 472.5728081268014
n 118.29112572006032 297.81552657340336
n 16.392391542845136 220.145623660782
n 40.75948015044007 158.25241977728686
n 78.41770799854133 32.038827544277154
n 119.39872065676919 137.6213518161218
n 169.2404928086679 53.88348773845191
n 185.85441685930084 133.98057511709268
n 240.12656875803498 143.68931298117036
n 293.29112572006034 178.88348773845192
n 268.9240371124654 32.038827544277154
n 379.68353078335144 271.1164974471898
n 360.8544168593008 323.30096346660724
n 297.7215054668958 405.8252353112675
n 311.0126447074021 337.86407026272377
n 194.71517635297172 175.2427110394228
e 4 5 35963
e 4 3 35
e 3 1 359631
e 1 4 1915
e 9 10 59
e 10 11 919
e 11 12 39563
e 17 18 59
e 18 19 195
e 19 1 591
e 1 5 5941
e 5 3 595
e 3 9 23
e 22 20 3
 e 2 20 56
e 20 16 497
e 3 16 568
e 16 17 3
e 17 3 459
e 3 21 59
e 21 13 696
e 13 7 7478
e 7 10 27
e 10 15 4848
e 15 8 79
e 8 11 58
e 11 14 574
e 14 13 5858
e 13 0 858
e 1 34 7474
e 39 3 87 
e 38 34 7479
e 34 35 838
e 39 17 89738
e 32 40 79359
e 2 31 49453649
e 16 9 5686
e 28 30 49
e 30 29 5
e 29 28 48885
e 28 27 7464765
e 27 0 565
e 0 4 446
e 40 28 5655
e 28 0 124
e 0 30 565
e 30 32 54654
e 32 31 565
e 31 30 4656
e 30 34 49
e 30 13 78
e 13 4 4
e 4 23 59
e 23 26 5
e 26 19 464
e 19 23 49
e 23 24 88
e 24 25 556
e 25 27 46
e 27 5 8589
e 5 25 498
e 25 37 49
e 37 36 49
e 36 3 489
e 3 15 15
e 15 33 45
e 33 2 46
e 2 22 789
e 22 34 49
e 34 19 4
e 19 16 49
e 16 28 4
e 28 24 78
e 24 14 12362
e 14 8 19584
e 8 9 245 
