% Graph saved at Thu Dec 20 2018 15:48:33 GMT+0100 (heure normale d’Europe centrale)
n 77.31012996238998 193.44659453456842
n 182.53164894973173 291.74756540835483
n 211.3291173041621 146.11649744718977
n 368.60758141626286 333.0097013306849
n 186.96202869656722 19.90290521418007
n 219.08228186112416 222.57280812680142
n 121.6139274307444 449.51455569961695
n 695.3480877453767 290.5339731753451
n 392.97467002385775 157.03882754427715
n 391.8670750871489 81.79610909767521
n 387.4366953403135 414.3203809423354
n 406.2658092643641 489.5630993889373
e 1 3 1
e 1 10 1
e 6 10 1
e 6 11 1
e 0 5 1
e 0 4 1
e 0 6 1
e 0 2 1
e 0 1 1
e 5 3 1
e 2 9 1
e 2 8 1
e 4 9 1
e 9 7 1
e 8 7 1
e 3 7 1
e 10 7 1
e 11 7 1
